filename,shot,source_url,publication,date,rights_holder,licence,retrieved
HO01_01_PHOTO_portrait.jpg,01;14;15,https://mediateca.inah.gob.mx/repositorio/islandora/object/fotografia:354513,"INAH Mediateca, Fototeca Nacional, Coleccion Nacho Lopez, Reportaje No. 667: 'Maria Sabina, retrato' (also fotografia:354493, same sitting; repositorio.inah.gob.mx/o-302990)",c.1975-1980,INAH,"INAH terms: consult, save and distribute for NON-commercial use with attribution and the full Mediateca hyperlink; commercial use on a monetised account needs an INAH reproduction licence","NEEDS_MANUAL: INAH blocked from the build container; download from the object page, request the licence (Fototeca Nacional, Pachuca)"
HO01_01_PHOTO_portrait-commons.jpg,01,https://commons.wikimedia.org/wiki/Category:Mar%C3%ADa_Sabina,"Wikimedia Commons, Category: Maria Sabina (5 files)",varies,varies per file; record the photographer from each file page,"varies per file (check each file page); skip 'Maria Sabina and John Lennon.jpg', the Lennon visit is legend and the image is not reliable",NEEDS_MANUAL: Commons blocked from the build container
HO01_01_PHOTO_portrait-life.jpg,01,https://www.gettyimages.com/photos/maria-sabina,"LIFE Picture Collection via Getty Images (Allan Richardson, 1955)",1955,Dotdash Meredith / LIFE Picture Collection,rights-managed editorial licence; the only fully cleared route,NEEDS_MANUAL: licence quote needed before use
HO01_06_PHOTO_ceremony.jpg,06,https://archive.org/details/Life-1957-05-13-Vol-42-No-19,"LIFE, 13 May 1957, Vol 42 No 19, 'Great Adventures III', pp. 100-120, photographs Allan Richardson (13 photographs, 8 in colour). Scans: Internet Archive item above; Google Books id Jj8EAAAAMBAJ; page references at https://www.psychedelic-library.org/life.htm . Physical copies: https://www.originallifemagazines.com/seeking-the-magic-mushroom/ (owning a copy lets it be shot as a document on the table; it does not grant reproduction rights)",1957-05-13,Dotdash Meredith (LIFE); photographs Allan Richardson,in copyright; editorial use not cleared; licence via LIFE Picture Collection or recreate per section 10,"NEEDS_MANUAL: archive.org blocked from the build container; download the PDF/JP2, crop the ceremony photographs"
HO01_07_DOC_life-cover.jpg,07;08,https://archive.org/details/Life-1957-05-13-Vol-42-No-19,"LIFE, 13 May 1957, cover (masthead date 'MAY 13, 1957' is shot 08)",1957-05-13,Dotdash Meredith (LIFE),in copyright; not cleared,NEEDS_MANUAL: crop page 1 of the scan at 300 dpi or higher
HO01_09_DOC_life-spread.jpg,09,https://archive.org/details/Life-1957-05-13-Vol-42-No-19,"LIFE, 13 May 1957, pp. 100-120; the passage introducing her under the false name is in the opening pages of the article (verify page in the scan)",1957-05-13,Dotdash Meredith (LIFE),in copyright; not cleared; default is to recreate the spread as a designed asset unless a licence comes through (section 10),NEEDS_MANUAL
HO01_10_DOC_life-village-name.jpg,10,https://archive.org/details/Life-1957-05-13-Vol-42-No-19,"LIFE, 13 May 1957, pp. 100-120; body-text page carrying 'Huautla de Jimenez' (verify page in the scan)",1957-05-13,Dotdash Meredith (LIFE),in copyright; not cleared; recreation cuts identically for a tight drift,NEEDS_MANUAL
HO01_11_DOC_clipping-01.jpg,11,https://hndm.iib.unam.mx/consulta/busqueda,"Hemeroteca Nacional Digital de Mexico (Excelsior, El Universal, Novedades, 1967-1972); July 1969 operation: army and Gobernacion entered Huautla and detained 86 visitors; roadblock to 1976. Search terms: 'Huautla jipis', 'Huautla de Jimenez extranjeros ejercito 1969'. Books that reproduce period coverage: Alvaro Estrada, 'Huautla en tiempo de hippies' (Grijalbo, 1996); Ben Feinberg, 'The Devil's Book of Culture' (2003)",1967-1972,respective newspapers,in copyright; hemeroteca reproduction terms apply; retrospectives in La Jornada and Proceso often reproduce originals,"NEEDS_MANUAL: HNDM needs an interactive session; also see Alvaro Estrada, 'Huautla en tiempo de hippies' (Grijalbo 1996) which reproduces period coverage"
HO01_11_DOC_clipping-02.jpg,11,https://emotionsblog.history.qmul.ac.uk/2018/04/huautla-hippies-and-hongos/,"QMUL History of Emotions blog, 'Huautla, hippies and hongos' (Benjamin T. Smith): reproduces 1969 press coverage and the July 1969 army operation (fifteen detained, nine Mexican, six foreign)",2018 (coverage 1967-1969),as credited on the page,check each reproduced clipping's paper and date,NEEDS_MANUAL
HO01_11_DOC_clipping-us.jpg,11,https://www.upi.com/Archives/1985/11/22/Mexicos-queen-of-hallucinogenic-mushrooms-dies-at-97/2265501483600/,UPI Archives (US wire coverage; search the UPI/AP archives for 1969-1970 Huautla items),1969-1985,UPI,in copyright (text); wire archives,NEEDS_MANUAL
HO01_12_PHOTO_visitors.jpg,12,https://www.mediateca.inah.gob.mx/repositorio/islandora/object/fotografia:354525,"INAH Mediateca, Coleccion Nacho Lopez, Reportaje No. 667: 'Maria Sabina comiendo con turistas' (she eats with foreign visitors, Huautla, c.1975). Alternatives: Benjamin T. Smith's photo page https://www.thedope.co.uk/photos ; Getty search https://www.gettyimages.com/photos/huautla-de-jimenez",c.1975,INAH,INAH terms: non-commercial with attribution; commercial use needs an INAH licence,"NEEDS_MANUAL: strongest real candidate for shot 12; if the licence does not clear, a second clipping pulls forward instead"
HO01_13_DOC_clipping-army.jpg,13,https://hndm.iib.unam.mx/consulta/busqueda,"Hemeroteca Nacional Digital: July 1969 army operation (28 Zona Militar helicopters) and the 1969-1976 roadblock; search 'Huautla ejercito 1969', 'Huautla cerrada extranjeros'",1969-1970,respective newspapers,in copyright; hemeroteca terms,NEEDS_MANUAL
HO01_14a_PHOTO_later-life.jpg,14,https://www.filmoteca.unam.mx/exhibiciones/muestra-del-dia-mundial-del-patrimonio-audiovisual/maria-sabina-mujer-espiritu/,"Nicolas Echevarria, 'Maria Sabina, mujer espiritu' (1979), Filmoteca UNAM; also on MUBI https://mubi.com/es/us/films/maria-sabina-woman-of-the-spirit",1979,Nicolas Echevarria / Filmoteca UNAM,in copyright; frame grabs need permission from the rights holder,"NEEDS_MANUAL: three stills from the film, held long; log timecodes"
HO01_14b_PHOTO_later-life.jpg,14,https://mediateca.inah.gob.mx/repositorio/islandora/object/fotografia:354493,"INAH Mediateca, Coleccion Nacho Lopez, Reportaje No. 667: 'Maria Sabina, retrato' (second frame); 'Poblado, panoramica' fotografia:354533 is the Huautla village view from the same reportage",c.1975-1980,INAH,CC BY-NC-ND 4.0; commercial use needs a licence,NEEDS_MANUAL: same licence position as shot 01
