date,job,historyId,model,mode,resolution,params,credits_quoted,credits_charged,outcome,note
2026-09-05,3.1 style set (as written),,nano-banana-pro,image2image,2K,"imageCount 4, 9:16, autoEnhancePrompt false",160,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN | split into 4 x imageCount 1 = 4 x 40 to stay under cap",
2026-09-05,3.1 style set (split),,nano-banana-pro,image2image,2K,"imageCount 1, 9:16",40,,"QUOTED - NOT RUN, pending BUDGET_TOTAL",
2026-09-05,3.1 style set (alt),,nano-banana-pro,image2image,2K,"imageCount 3, 9:16",120,,"QUOTED - NOT RUN, pending BUDGET_TOTAL | exactly at cap",
2026-09-05,"3.2 char sheet (as written), each of 4",,nano-banana-pro,image2image,2K,"imageCount 4, 1:1",160,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN | split into 4 x imageCount 1",
2026-09-05,"3.2 char sheet (split), per image",,nano-banana-pro,image2image,2K,"imageCount 1, 1:1",40,,"QUOTED - NOT RUN, pending BUDGET_TOTAL",
2026-09-05,5.2 map end frame (as written),,nano-banana-pro,image2image,2K,"imageCount 4, 9:16",160,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN | split into 4 x imageCount 1",
2026-09-05,"4.x shot keyframe, per shot (17)",,nano-banana-pro,image2image,2K,"imageCount 1, 9:16",40,,"QUOTED - NOT RUN, pending BUDGET_TOTAL",
2026-09-05,text fallback (shots 08/09/10/16),,gpt-image-2,image2image,2k,"imageCount 1, 9:16, quality medium",47,,"QUOTED - NOT RUN, pending BUDGET_TOTAL",
2026-09-05,"5.3 MAP shots 02-03 (first call, as written)",,byte-plus-seedance-2,image2video,720p,"9:16, 5s, generateAudio false, mode normal",400,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN | no permitted remedy: 720p and 5s are fixed by brief",
2026-09-05,5.3 MAP alt mode fast,,byte-plus-seedance-2,image2video,720p,"9:16, 5s, generateAudio false, mode fast",350,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN",
2026-09-05,5.3 MAP min duration,,byte-plus-seedance-2,image2video,720p,"9:16, 4s, generateAudio false",320,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN | model minimum is 4s",
2026-09-05,5.3 MAP permitted 1080p rerun,,byte-plus-seedance-2,image2video,1080p,"9:16, 5s, generateAudio false",1000,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN",
2026-09-05,shot 01 (first call),,gemini-omni-1-1-flash,element2video,720p,"9:16, 7s",350,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN",
2026-09-05,"shot 01 (Kling alt, quote-both rule)",,kling-3-omni,element2video,std,"9:16, 7s, generateSound false",175,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN",
2026-09-05,shot 04 / 07 / 08 / 09 / 10 / 15,,wan2-7,image2video,720p,3s (aspect from startFrame),75,,"QUOTED - NOT RUN, pending BUDGET_TOTAL",
2026-09-05,shot 05,,wan2-7,image2video,720p,6s,150,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN",
2026-09-05,shot 06 (first call),,gemini-omni-1-1-flash,element2video,720p,"9:16, 4s",200,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN",
2026-09-05,shot 06 (Kling alt),,kling-3-omni,image2video,std,"4s, generateSound false",100,,"QUOTED - NOT RUN, pending BUDGET_TOTAL",
2026-09-05,shot 11 (first call),,gemini-omni-1-1-flash,element2video,720p,"9:16, 5s",250,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN",
2026-09-05,shot 11 (Kling alt),,kling-3-omni,element2video,std,"9:16, 5s, generateSound false",125,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN",
2026-09-05,"shot 12 (first call) 2s NOT POSSIBLE, min 3s",,gemini-omni-1-1-flash,element2video,720p,"9:16, 3s",150,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN | brief says 2s; Gemini min 3s, Kling min 3s, Seedance min 4s, only Wan allows 2s",
2026-09-05,shot 12 (Kling alt) 3s,,kling-3-omni,element2video,std,"9:16, 3s, generateSound false",75,,"QUOTED - NOT RUN, pending BUDGET_TOTAL",
2026-09-05,shot 13A / 13B / 17,,wan2-7,image2video,720p,2s,50,,"QUOTED - NOT RUN, pending BUDGET_TOTAL",
2026-09-05,shot 13C (first call),,gemini-omni-1-1-flash,element2video,720p,"9:16, 3s",150,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN",
2026-09-05,shot 13C (Kling alt),,kling-3-omni,element2video,std,"9:16, 3s, generateSound false",75,,"QUOTED - NOT RUN, pending BUDGET_TOTAL",
2026-09-05,shot 14,,wan2-7,image2video,720p,5s,125,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN",
2026-09-05,shot 16,,wan2-7,image2video,720p,4s,100,,"QUOTED - NOT RUN, pending BUDGET_TOTAL",
2026-09-05,Wan ladder reference,,wan2-7,image2video,720p,7s,175,,"QUOTED - OVER PER-JOB CAP 120, NOT RUN",
2026-09-05,Kling ladder reference,,kling-3-omni,image2video,std,"3s / 5s, generateSound false",75 / 125,,QUOTED - reference only,
